Loading channels: ...working... done
# Name                       Version           Build  Channel             
conda                         22.9.0  py37h03978a9_0  conda-forge         
conda                         22.9.0  py37h03978a9_1  conda-forge         
conda                         22.9.0  py37haa95532_0  pkgs/main           
conda                         22.9.0  py38h32ec214_0  conda-forge         
conda                         22.9.0  py38h32ec214_1  conda-forge         
conda                         22.9.0  py38h32ec214_2  conda-forge         
conda                         22.9.0  py38haa244fe_0  conda-forge         
conda                         22.9.0  py38haa244fe_1  conda-forge         
conda                         22.9.0  py38haa244fe_2  conda-forge         
conda                         22.9.0  py38haa95532_0  pkgs/main           
conda                         22.9.0  py39h0d475fb_0  conda-forge         
conda                         22.9.0  py39h0d475fb_1  conda-forge         
conda                         22.9.0  py39h0d475fb_2  conda-forge         
conda                         22.9.0  py39haa95532_0  pkgs/main           
conda                         22.9.0  py39hcbf5309_0  conda-forge         
conda                         22.9.0  py39hcbf5309_1  conda-forge         
conda                         22.9.0  py39hcbf5309_2  conda-forge         
conda                        22.11.0 py310haa95532_0  pkgs/main           
conda                        22.11.0 py310haa95532_1  pkgs/main           
conda                        22.11.0  py37haa95532_0  pkgs/main           
conda                        22.11.0  py37haa95532_1  pkgs/main           
conda                        22.11.0  py38haa95532_0  pkgs/main           
conda                        22.11.0  py38haa95532_1  pkgs/main           
conda                        22.11.0  py39haa95532_0  pkgs/main           
conda                        22.11.0  py39haa95532_1  pkgs/main           
conda                        22.11.1 py310h5588dad_0  conda-forge         
conda                        22.11.1 py310h5588dad_1  conda-forge         
conda                        22.11.1 py310haa95532_1  pkgs/main           
conda                        22.11.1 py310haa95532_2  pkgs/main           
conda                        22.11.1 py310haa95532_3  pkgs/main           
conda                        22.11.1 py310haa95532_4  pkgs/main           
conda                        22.11.1 py310haa95532_5  pkgs/main           
conda                        22.11.1 py311h1ea47a8_0  conda-forge         
conda                        22.11.1 py311h1ea47a8_1  conda-forge         
conda                        22.11.1 py311haa95532_5  pkgs/main           
conda                        22.11.1  py37haa95532_1  pkgs/main           
conda                        22.11.1  py37haa95532_2  pkgs/main           
conda                        22.11.1  py37haa95532_3  pkgs/main           
conda                        22.11.1  py37haa95532_4  pkgs/main           
conda                        22.11.1  py38h32ec214_0  conda-forge         
conda                        22.11.1  py38h32ec214_1  conda-forge         
conda                        22.11.1  py38haa244fe_0  conda-forge         
conda                        22.11.1  py38haa244fe_1  conda-forge         
conda                        22.11.1  py38haa95532_1  pkgs/main           
conda                        22.11.1  py38haa95532_2  pkgs/main           
conda                        22.11.1  py38haa95532_3  pkgs/main           
conda                        22.11.1  py38haa95532_4  pkgs/main           
conda                        22.11.1  py38haa95532_5  pkgs/main           
conda                        22.11.1  py39h0d475fb_0  conda-forge         
conda                        22.11.1  py39h0d475fb_1  conda-forge         
conda                        22.11.1  py39haa95532_1  pkgs/main           
conda                        22.11.1  py39haa95532_2  pkgs/main           
conda                        22.11.1  py39haa95532_3  pkgs/main           
conda                        22.11.1  py39haa95532_4  pkgs/main           
conda                        22.11.1  py39haa95532_5  pkgs/main           
conda                        22.11.1  py39hcbf5309_0  conda-forge         
conda                        22.11.1  py39hcbf5309_1  conda-forge         
conda                         23.1.0 py310h5588dad_0  conda-forge         
conda                         23.1.0 py310haa95532_0  pkgs/main           
conda                         23.1.0 py311h1ea47a8_0  conda-forge         
conda                         23.1.0 py311haa95532_0  pkgs/main           
conda                         23.1.0  py37haa95532_0  pkgs/main           
conda                         23.1.0  py38h32ec214_0  conda-forge         
conda                         23.1.0  py38haa244fe_0  conda-forge         
conda                         23.1.0  py38haa95532_0  pkgs/main           
conda                         23.1.0  py39h0d475fb_0  conda-forge         
conda                         23.1.0  py39haa95532_0  pkgs/main           
conda                         23.1.0  py39hcbf5309_0  conda-forge         
